STATE,COUNTY,GROCPC,SNAPStoresPERTHO,SNAPRedemp,AMB_PAR06,PCT_FREE_LUNCH,PCT_REDUCED_LUNCH,PC_FRUVEG,PC_SNACKS,PC_SODA,PC_MEAT,PC_FATS,PC_PREPFOO,MILK_PRICE,SODA_PRICE,PCT_DIABET,PCT_OBESE_ADULTS,PCT_Child_OBESITY,PctNHWhite,PctNHBlack,PctHisp08,PctNHAsian,PctNHNA08,Median_Inc,Percent_Poverty,metro
Iowa,Lucas,0.106,0.861,92618,92,31.5,9,174,120,66,68,19,315,0.89,0.98,7.9,28.5,16.2,97.3,0.2,1.5,0.3,0.2,41007,15,0
Iowa,Lyon,0.622,0.623,22435,92,15.8,7.9,169,122,64,61,21,298,0.88,0.97,7.8,26.2,12.2,98,0.3,0.8,0.2,0.2,50289,7.9,0
Iowa,Madison,0.13,0.645,60044,83,15.7,6.1,174,120,66,68,19,315,0.89,0.98,7.3,28.2,13.6,97.2,0.3,1.4,0.2,0.2,51973,8.1,1
Iowa,Mahaska,0.18,1.299,114760,85,28.3,6.8,174,120,66,68,19,315,0.89,0.98,7.4,27.7,16.5,95.1,0.9,1.5,1.2,0.2,46872,12.9,0
Iowa,Marion,0.185,1.013,75973,80,17.7,7,174,120,66,68,19,315,0.89,0.98,7.6,27.8,12.3,96.2,0.6,1.2,1.1,0.2,51252,8.4,0
Iowa,Marshall,0.255,1.139,123788,89,37.8,9.7,174,120,66,68,19,315,0.89,0.98,8,28.3,21.9,81.7,1.3,14.7,0.9,0.5,44615,12.9,0
Iowa,Mills,0.198,0.596,61340,81,23.6,8.8,174,120,66,68,19,315,0.89,0.98,7.4,28.2,16.7,96.4,0.4,1.8,0.4,0.3,55094,9.6,1
Iowa,Mitchell,0.465,1.027,16183,93,12.7,9.1,169,122,64,61,21,298,0.88,0.97,8.4,27.7,12.7,98.5,0.2,0.8,0.2,,46629,9.4,0
Iowa,Monona,0.22,0.669,97099,77,28.4,10.8,174,120,66,68,19,315,0.89,0.98,8.9,27,16.2,96.9,0.2,1.2,0.2,1,41009,13.8,0
Iowa,Monroe,0.396,0.924,64907,80,24.6,10.8,174,120,66,68,19,315,0.89,0.98,8.4,27.4,20,97.5,0.2,0.9,0.4,0.4,47628,13.4,0
Iowa,Montgomery,0.273,0.644,219348,83,31.6,10.8,174,120,66,68,19,315,0.89,0.98,9,27.8,20.9,96,0.2,2.4,0.3,0.4,36817,14.2,0
Iowa,Muscatine,0.213,0.753,188287,91,27.1,7.3,169,122,64,61,21,298,0.88,0.97,7.1,27.9,19,83.2,1,13.9,0.9,0.3,53234,11.9,0
Iowa,O'Brien,0.498,0.645,62428,85,19.3,8.5,169,122,64,61,21,298,0.88,0.97,8.8,27.2,16.4,95.3,0.5,2.9,0.6,0.2,46584,9,0
Iowa,Osceola,0.465,0.621,22767,72,20.2,7,169,122,64,61,21,298,0.88,0.97,8.2,27.1,15.1,94.6,0.3,4,0.2,0.3,43681,8.8,0
